order_id,order_date,month,month_name,year,quarter,day_of_week,customer_id,customer_name,gender,age_group,area,city,loyalty_member,store_name,store_id,product_name,category,unit_price_pkr,quantity,discount_pct,discount_amount_pkr,sales_pkr,profit_pkr,profit_margin_pct,payment_method,delivery_type
ORD001002,2025-10-15,10,October,2025,Q4,Wednesday,CUST0001,Ahmed Baig,Male,26-35,DHA Phase 5,Karachi,No,Imtiaz Sharafabad,ST006,Walls Ice Cream 1L,Grocery,673,3,0,0,2019,386,19.1,Credit Card,In-Store
ORD001002,2025-10-15,10,October,2025,Q4,Wednesday,CUST0001,Ahmed Baig,Male,26-35,DHA Phase 5,Karachi,No,Imtiaz Sharafabad,ST006,Sensodyne Toothpaste,Pharmacy & Health,412,4,0,0,1648,295,17.9,JazzCash,In-Store
ORD001002,2025-10-15,10,October,2025,Q4,Wednesday,CUST0001,Ahmed Baig,Male,26-35,DHA Phase 5,Karachi,No,Imtiaz Sharafabad,ST006,Sunsilk Shampoo 400ml,Grocery,544,3,0,0,1632,321,19.7,EasyPaisa,Home Delivery
ORD001003,2025-09-17,9,September,2025,Q3,Wednesday,CUST0002,Naveed Hashmi,Male,18-25,Bahadurabad,Karachi,Yes,Imtiaz DHA,ST003,Puzzle 500pcs,Toys & Sports,556,2,5,56,1056,107,10.1,Credit Card,In-Store
ORD001003,2025-09-17,9,September,2025,Q3,Wednesday,CUST0002,Naveed Hashmi,Male,18-25,Bahadurabad,Karachi,Yes,Imtiaz DHA,ST003,Nivea Moisturizer 200ml,Personal Care,670,3,0,0,2010,282,14.0,EasyPaisa,In-Store
ORD001003,2025-09-17,9,September,2025,Q3,Wednesday,CUST0002,Naveed Hashmi,Male,18-25,Bahadurabad,Karachi,Yes,Imtiaz DHA,ST003,Mop & Bucket,Household,899,4,0,0,3596,515,14.3,JazzCash,In-Store
ORD001004,2025-08-26,8,August,2025,Q3,Tuesday,CUST0002,Naveed Hashmi,Male,18-25,Bahadurabad,Karachi,Yes,Imtiaz Bahadurabad,ST001,Shan Biryani Masala,Grocery,129,1,5,6,123,21,17.1,Debit Card,In-Store
ORD001004,2025-08-26,8,August,2025,Q3,Tuesday,CUST0002,Naveed Hashmi,Male,18-25,Bahadurabad,Karachi,Yes,Imtiaz Bahadurabad,ST001,Skipping Rope,Toys & Sports,260,2,0,0,520,72,13.8,JazzCash,Home Delivery
ORD001004,2025-08-26,8,August,2025,Q3,Tuesday,CUST0002,Naveed Hashmi,Male,18-25,Bahadurabad,Karachi,Yes,Imtiaz Bahadurabad,ST001,Lux Soap 3pcs,Personal Care,366,2,15,110,622,69,11.1,Cash,Home Delivery
ORD001004,2025-08-26,8,August,2025,Q3,Tuesday,CUST0002,Naveed Hashmi,Male,18-25,Bahadurabad,Karachi,Yes,Imtiaz Bahadurabad,ST001,Dish Soap Vim 500ml,Household,164,3,0,0,492,66,13.4,Cash,In-Store
ORD001004,2025-08-26,8,August,2025,Q3,Tuesday,CUST0002,Naveed Hashmi,Male,18-25,Bahadurabad,Karachi,Yes,Imtiaz Bahadurabad,ST001,Curtain Rod,Household,458,4,0,0,1832,326,17.8,Cash,Home Delivery
ORD001004,2025-08-26,8,August,2025,Q3,Tuesday,CUST0002,Naveed Hashmi,Male,18-25,Bahadurabad,Karachi,Yes,Imtiaz Bahadurabad,ST001,Surf Excel 1kg,Grocery,417,1,5,21,396,74,18.7,Debit Card,Home Delivery
ORD001004,2025-08-26,8,August,2025,Q3,Tuesday,CUST0002,Naveed Hashmi,Male,18-25,Bahadurabad,Karachi,Yes,Imtiaz Bahadurabad,ST001,Johnson Baby Powder 200g,Pharmacy & Health,371,4,0,0,1484,253,17.0,EasyPaisa,In-Store
ORD001004,2025-08-26,8,August,2025,Q3,Tuesday,CUST0002,Naveed Hashmi,Male,18-25,Bahadurabad,Karachi,Yes,Imtiaz Bahadurabad,ST001,Garlic 250g,Fruits & Vegetables,97,1,10,10,87,10,11.5,EasyPaisa,In-Store
ORD001005,2025-11-17,11,November,2025,Q4,Monday,CUST0002,Naveed Hashmi,Male,18-25,Bahadurabad,Karachi,Yes,Imtiaz Sharafabad,ST006,White Bread large,Bakery,110,2,10,22,198,36,18.2,Cash,In-Store
ORD001005,2025-11-17,11,November,2025,Q4,Monday,CUST0002,Naveed Hashmi,Male,18-25,Bahadurabad,Karachi,Yes,Imtiaz Sharafabad,ST006,Men's Socks 3pcs,Clothing & Fabric,336,1,0,0,336,53,15.8,JazzCash,In-Store
ORD001005,2025-11-17,11,November,2025,Q4,Monday,CUST0002,Naveed Hashmi,Male,18-25,Bahadurabad,Karachi,Yes,Imtiaz Sharafabad,ST006,Chicken Liver 500g,Meat & Seafood,302,4,0,0,1208,167,13.8,Debit Card,In-Store
ORD001005,2025-11-17,11,November,2025,Q4,Monday,CUST0002,Naveed Hashmi,Male,18-25,Bahadurabad,Karachi,Yes,Imtiaz Sharafabad,ST006,Beef Mince 1kg,Meat & Seafood,886,2,5,89,1683,140,8.3,Cash,In-Store
ORD001006,2025-04-19,4,April,2025,Q2,Saturday,CUST0002,Naveed Hashmi,Male,18-25,Bahadurabad,Karachi,Yes,Imtiaz Sharafabad,ST006,Mr. Muscle Cleaner,Household,351,2,15,105,597,114,19.1,Cash,Home Delivery
ORD001007,2026-03-25,3,March,2026,Q1,Wednesday,CUST0002,Naveed Hashmi,Male,18-25,Bahadurabad,Karachi,Yes,Imtiaz Sharafabad,ST006,Scotch Tape,Stationery,88,1,15,13,75,17,22.7,Cash,In-Store
ORD001007,2026-03-25,3,March,2026,Q1,Wednesday,CUST0002,Naveed Hashmi,Male,18-25,Bahadurabad,Karachi,Yes,Imtiaz Sharafabad,ST006,Laptop Cooling Pad,Electronics,1187,4,0,0,4748,822,17.3,Debit Card,In-Store
ORD001007,2026-03-25,3,March,2026,Q1,Wednesday,CUST0002,Naveed Hashmi,Male,18-25,Bahadurabad,Karachi,Yes,Imtiaz Sharafabad,ST006,Curtain Rod,Household,499,2,15,150,848,69,8.1,Debit Card,In-Store
ORD001007,2026-03-25,3,March,2026,Q1,Wednesday,CUST0002,Naveed Hashmi,Male,18-25,Bahadurabad,Karachi,Yes,Imtiaz Sharafabad,ST006,Shan Biryani Masala,Grocery,123,3,15,55,314,32,10.2,Cash,In-Store
ORD001007,2026-03-25,3,March,2026,Q1,Wednesday,CUST0002,Naveed Hashmi,Male,18-25,Bahadurabad,Karachi,Yes,Imtiaz Sharafabad,ST006,Garbage Bags 30pcs,Household,203,3,0,0,609,100,16.4,JazzCash,In-Store
ORD001008,2026-02-03,2,February,2026,Q1,Tuesday,CUST0002,Naveed Hashmi,Male,18-25,Bahadurabad,Karachi,Yes,Imtiaz DHA,ST003,Beef Steak 500g,Meat & Seafood,999,2,5,100,1898,446,23.5,EasyPaisa,Home Delivery
ORD001008,2026-02-03,2,February,2026,Q1,Tuesday,CUST0002,Naveed Hashmi,Male,18-25,Bahadurabad,Karachi,Yes,Imtiaz DHA,ST003,Kids T-Shirt,Clothing & Fabric,455,3,0,0,1365,265,19.4,Cash,Home Delivery
ORD001008,2026-02-03,2,February,2026,Q1,Tuesday,CUST0002,Naveed Hashmi,Male,18-25,Bahadurabad,Karachi,Yes,Imtiaz DHA,ST003,UHT Milk Haleeb 1L,Dairy,191,2,10,38,344,32,9.3,EasyPaisa,In-Store
ORD001008,2026-02-03,2,February,2026,Q1,Tuesday,CUST0002,Naveed Hashmi,Male,18-25,Bahadurabad,Karachi,Yes,Imtiaz DHA,ST003,Pita Bread 4pcs,Bakery,113,3,5,17,322,80,24.8,Credit Card,In-Store
ORD001009,2025-08-26,8,August,2025,Q3,Tuesday,CUST0002,Naveed Hashmi,Male,18-25,Bahadurabad,Karachi,Yes,Imtiaz Bahadurabad,ST001,Cricket Bat junior,Toys & Sports,1285,1,0,0,1285,278,21.6,Credit Card,Home Delivery
ORD001009,2025-08-26,8,August,2025,Q3,Tuesday,CUST0002,Naveed Hashmi,Male,18-25,Bahadurabad,Karachi,Yes,Imtiaz Bahadurabad,ST001,Spinach bunch,Fruits & Vegetables,46,1,0,0,46,4,8.7,Cash,In-Store
ORD001010,2025-06-18,6,June,2025,Q2,Wednesday,CUST0002,Naveed Hashmi,Male,18-25,Bahadurabad,Karachi,Yes,Imtiaz DHA,ST003,Curtain Rod,Household,470,1,5,24,446,56,12.6,Debit Card,Home Delivery
ORD001010,2025-06-18,6,June,2025,Q2,Wednesday,CUST0002,Naveed Hashmi,Male,18-25,Bahadurabad,Karachi,Yes,Imtiaz DHA,ST003,Naan 4pcs,Bakery,62,4,0,0,248,25,10.1,EasyPaisa,In-Store
ORD001010,2025-06-18,6,June,2025,Q2,Wednesday,CUST0002,Naveed Hashmi,Male,18-25,Bahadurabad,Karachi,Yes,Imtiaz DHA,ST003,Women's Innerwear set,Clothing & Fabric,598,2,10,120,1076,174,16.2,JazzCash,Home Delivery
ORD001010,2025-06-18,6,June,2025,Q2,Wednesday,CUST0002,Naveed Hashmi,Male,18-25,Bahadurabad,Karachi,Yes,Imtiaz DHA,ST003,Sooper Biscuits,Grocery,97,2,0,0,194,36,18.6,EasyPaisa,In-Store
ORD001010,2025-06-18,6,June,2025,Q2,Wednesday,CUST0002,Naveed Hashmi,Male,18-25,Bahadurabad,Karachi,Yes,Imtiaz DHA,ST003,Cheddar Cheese 200g,Dairy,520,4,0,0,2080,480,23.1,Debit Card,In-Store
ORD001010,2025-06-18,6,June,2025,Q2,Wednesday,CUST0002,Naveed Hashmi,Male,18-25,Bahadurabad,Karachi,Yes,Imtiaz DHA,ST003,Cricket Bat junior,Toys & Sports,1143,1,0,0,1143,94,8.2,EasyPaisa,In-Store
ORD001010,2025-06-18,6,June,2025,Q2,Wednesday,CUST0002,Naveed Hashmi,Male,18-25,Bahadurabad,Karachi,Yes,Imtiaz DHA,ST003,Shrimp 500g,Meat & Seafood,853,3,15,384,2175,433,19.9,Cash,Home Delivery
ORD001010,2025-06-18,6,June,2025,Q2,Wednesday,CUST0002,Naveed Hashmi,Male,18-25,Bahadurabad,Karachi,Yes,Imtiaz DHA,ST003,Coriander bunch,Fruits & Vegetables,30,2,15,9,51,10,19.6,Debit Card,In-Store
ORD001011,2026-04-02,4,April,2026,Q2,Thursday,CUST0003,Kashif Qureshi,Male,56+,Tariq Road,Karachi,Yes,Imtiaz Gulshan-e-Iqbal,ST005,Nurpur Butter 200g,Grocery,320,2,5,32,608,137,22.5,Cash,In-Store
ORD001012,2026-01-20,1,January,2026,Q1,Tuesday,CUST0003,Kashif Qureshi,Male,56+,Tariq Road,Karachi,Yes,Imtiaz Clifton,ST004,Croissant,Bakery,78,4,0,0,312,29,9.3,Debit Card,Home Delivery
ORD001012,2026-01-20,1,January,2026,Q1,Tuesday,CUST0003,Kashif Qureshi,Male,56+,Tariq Road,Karachi,Yes,Imtiaz Clifton,ST004,Fish Fillet 500g,Meat & Seafood,696,1,5,35,661,88,13.3,Debit Card,In-Store
ORD001012,2026-01-20,1,January,2026,Q1,Tuesday,CUST0003,Kashif Qureshi,Male,56+,Tariq Road,Karachi,Yes,Imtiaz Clifton,ST004,Samosa 4pcs,Bakery,98,1,0,0,98,17,17.3,Cash,In-Store
ORD001012,2026-01-20,1,January,2026,Q1,Tuesday,CUST0003,Kashif Qureshi,Male,56+,Tariq Road,Karachi,Yes,Imtiaz Clifton,ST004,Shan Biryani Masala,Grocery,129,3,10,39,348,40,11.5,EasyPaisa,Home Delivery
ORD001012,2026-01-20,1,January,2026,Q1,Tuesday,CUST0003,Kashif Qureshi,Male,56+,Tariq Road,Karachi,Yes,Imtiaz Clifton,ST004,USB Cable Type-C,Electronics,370,3,0,0,1110,243,21.9,Debit Card,In-Store
ORD001012,2026-01-20,1,January,2026,Q1,Tuesday,CUST0003,Kashif Qureshi,Male,56+,Tariq Road,Karachi,Yes,Imtiaz Clifton,ST004,White Bread large,Bakery,125,4,0,0,500,101,20.2,Cash,In-Store
ORD001013,2026-01-24,1,January,2026,Q1,Saturday,CUST0003,Kashif Qureshi,Male,56+,Tariq Road,Karachi,Yes,Imtiaz Sharafabad,ST006,Mehran Basmati Rice 5kg,Grocery,858,3,0,0,2574,513,19.9,Cash,In-Store
ORD001013,2026-01-24,1,January,2026,Q1,Saturday,CUST0003,Kashif Qureshi,Male,56+,Tariq Road,Karachi,Yes,Imtiaz Sharafabad,ST006,Shrimp 500g,Meat & Seafood,789,4,15,473,2683,553,20.6,Debit Card,In-Store
ORD001013,2026-01-24,1,January,2026,Q1,Saturday,CUST0003,Kashif Qureshi,Male,56+,Tariq Road,Karachi,Yes,Imtiaz Sharafabad,ST006,Beef Steak 500g,Meat & Seafood,1124,3,0,0,3372,339,10.1,Debit Card,In-Store
ORD001013,2026-01-24,1,January,2026,Q1,Saturday,CUST0003,Kashif Qureshi,Male,56+,Tariq Road,Karachi,Yes,Imtiaz Sharafabad,ST006,Badminton Set,Toys & Sports,724,4,0,0,2896,585,20.2,Cash,Home Delivery
ORD001014,2025-01-24,1,January,2025,Q1,Friday,CUST0003,Kashif Qureshi,Male,56+,Tariq Road,Karachi,Yes,Imtiaz Sharafabad,ST006,Scotch Tape,Stationery,88,4,10,35,317,33,10.4,Debit Card,In-Store
ORD001014,2025-01-24,1,January,2025,Q1,Friday,CUST0003,Kashif Qureshi,Male,56+,Tariq Road,Karachi,Yes,Imtiaz Sharafabad,ST006,Savlon Antiseptic 100ml,Pharmacy & Health,222,1,5,11,211,47,22.3,Debit Card,In-Store
ORD001015,2025-12-21,12,December,2025,Q4,Sunday,CUST0003,Kashif Qureshi,Male,56+,Tariq Road,Karachi,Yes,Imtiaz Gulshan-e-Iqbal,ST005,Women's Innerwear set,Clothing & Fabric,635,1,10,64,571,105,18.4,Credit Card,Home Delivery
ORD001015,2025-12-21,12,December,2025,Q4,Sunday,CUST0003,Kashif Qureshi,Male,56+,Tariq Road,Karachi,Yes,Imtiaz Gulshan-e-Iqbal,ST005,Cricket Bat junior,Toys & Sports,1315,4,15,789,4471,937,21.0,Credit Card,Home Delivery
ORD001015,2025-12-21,12,December,2025,Q4,Sunday,CUST0003,Kashif Qureshi,Male,56+,Tariq Road,Karachi,Yes,Imtiaz Gulshan-e-Iqbal,ST005,Tomatoes 1kg,Fruits & Vegetables,88,3,5,13,251,54,21.5,Cash,Home Delivery
ORD001016,2025-11-05,11,November,2025,Q4,Wednesday,CUST0003,Kashif Qureshi,Male,56+,Tariq Road,Karachi,Yes,Imtiaz Sharafabad,ST006,Puzzle 500pcs,Toys & Sports,545,2,10,109,981,198,20.2,EasyPaisa,In-Store
ORD001016,2025-11-05,11,November,2025,Q4,Wednesday,CUST0003,Kashif Qureshi,Male,56+,Tariq Road,Karachi,Yes,Imtiaz Sharafabad,ST006,Women's Dupatta,Clothing & Fabric,636,2,15,191,1081,266,24.6,Cash,In-Store
ORD001016,2025-11-05,11,November,2025,Q4,Wednesday,CUST0003,Kashif Qureshi,Male,56+,Tariq Road,Karachi,Yes,Imtiaz Sharafabad,ST006,Broom set,Household,368,1,10,37,331,54,16.3,JazzCash,Home Delivery
ORD001016,2025-11-05,11,November,2025,Q4,Wednesday,CUST0003,Kashif Qureshi,Male,56+,Tariq Road,Karachi,Yes,Imtiaz Sharafabad,ST006,Skipping Rope,Toys & Sports,301,3,5,45,858,187,21.8,JazzCash,In-Store
ORD001016,2025-11-05,11,November,2025,Q4,Wednesday,CUST0003,Kashif Qureshi,Male,56+,Tariq Road,Karachi,Yes,Imtiaz Sharafabad,ST006,Mutton 1kg,Meat & Seafood,1757,1,0,0,1757,341,19.4,Cash,In-Store
ORD001017,2026-01-20,1,January,2026,Q1,Tuesday,CUST0003,Kashif Qureshi,Male,56+,Tariq Road,Karachi,Yes,Imtiaz Nazimabad,ST002,Fair & Lovely 50g,Personal Care,207,3,10,62,559,48,8.6,Debit Card,In-Store
ORD001017,2026-01-20,1,January,2026,Q1,Tuesday,CUST0003,Kashif Qureshi,Male,56+,Tariq Road,Karachi,Yes,Imtiaz Nazimabad,ST002,Rusk packet,Bakery,100,2,10,20,180,26,14.4,JazzCash,In-Store
ORD001017,2026-01-20,1,January,2026,Q1,Tuesday,CUST0003,Kashif Qureshi,Male,56+,Tariq Road,Karachi,Yes,Imtiaz Nazimabad,ST002,Potatoes 1kg,Fruits & Vegetables,76,1,5,4,72,11,15.3,EasyPaisa,In-Store
ORD001017,2026-01-20,1,January,2026,Q1,Tuesday,CUST0003,Kashif Qureshi,Male,56+,Tariq Road,Karachi,Yes,Imtiaz Nazimabad,ST002,Puzzle 500pcs,Toys & Sports,524,1,0,0,524,60,11.5,Debit Card,In-Store
ORD001017,2026-01-20,1,January,2026,Q1,Tuesday,CUST0003,Kashif Qureshi,Male,56+,Tariq Road,Karachi,Yes,Imtiaz Nazimabad,ST002,Knorr Noodles,Grocery,68,3,10,20,184,38,20.7,Cash,In-Store
ORD001018,2025-05-31,5,May,2025,Q2,Saturday,CUST0003,Kashif Qureshi,Male,56+,Tariq Road,Karachi,Yes,Imtiaz Clifton,ST004,Fair & Lovely 50g,Personal Care,230,2,0,0,460,66,14.3,Debit Card,In-Store
ORD001018,2025-05-31,5,May,2025,Q2,Saturday,CUST0003,Kashif Qureshi,Male,56+,Tariq Road,Karachi,Yes,Imtiaz Clifton,ST004,Surf Excel 1kg,Grocery,417,3,10,125,1126,252,22.4,Cash,In-Store
ORD001018,2025-05-31,5,May,2025,Q2,Saturday,CUST0003,Kashif Qureshi,Male,56+,Tariq Road,Karachi,Yes,Imtiaz Clifton,ST004,Coriander bunch,Fruits & Vegetables,31,4,0,0,124,11,8.9,Credit Card,In-Store
ORD001019,2026-02-01,2,February,2026,Q1,Sunday,CUST0003,Kashif Qureshi,Male,56+,Tariq Road,Karachi,Yes,Imtiaz Sharafabad,ST006,Philips LED Bulb 15W,Electronics,296,1,0,0,296,50,16.9,Cash,In-Store
ORD001019,2026-02-01,2,February,2026,Q1,Sunday,CUST0003,Kashif Qureshi,Male,56+,Tariq Road,Karachi,Yes,Imtiaz Sharafabad,ST006,File Folder 10pcs,Stationery,216,2,10,43,389,58,14.9,Credit Card,In-Store
ORD001019,2026-02-01,2,February,2026,Q1,Sunday,CUST0003,Kashif Qureshi,Male,56+,Tariq Road,Karachi,Yes,Imtiaz Sharafabad,ST006,Hangers 10pcs,Household,186,2,0,0,372,53,14.2,Cash,Home Delivery
ORD001019,2026-02-01,2,February,2026,Q1,Sunday,CUST0003,Kashif Qureshi,Male,56+,Tariq Road,Karachi,Yes,Imtiaz Sharafabad,ST006,Broom set,Household,323,1,0,0,323,50,15.5,EasyPaisa,In-Store
ORD001019,2026-02-01,2,February,2026,Q1,Sunday,CUST0003,Kashif Qureshi,Male,56+,Tariq Road,Karachi,Yes,Imtiaz Sharafabad,ST006,Beef Steak 500g,Meat & Seafood,1140,1,0,0,1140,165,14.5,Cash,Home Delivery
ORD001020,2025-05-12,5,May,2025,Q2,Monday,CUST0003,Kashif Qureshi,Male,56+,Tariq Road,Karachi,Yes,Imtiaz Gulshan-e-Iqbal,ST005,Dalda Cooking Oil 5L,Grocery,1446,4,0,0,5784,1346,23.3,Cash,In-Store
ORD001020,2025-05-12,5,May,2025,Q2,Monday,CUST0003,Kashif Qureshi,Male,56+,Tariq Road,Karachi,Yes,Imtiaz Gulshan-e-Iqbal,ST005,Power Bank 10000mAh,Electronics,3051,1,0,0,3051,748,24.5,JazzCash,In-Store
ORD001020,2025-05-12,5,May,2025,Q2,Monday,CUST0003,Kashif Qureshi,Male,56+,Tariq Road,Karachi,Yes,Imtiaz Gulshan-e-Iqbal,ST005,Football size 4,Toys & Sports,801,1,15,120,681,144,21.1,EasyPaisa,Home Delivery
ORD001020,2025-05-12,5,May,2025,Q2,Monday,CUST0003,Kashif Qureshi,Male,56+,Tariq Road,Karachi,Yes,Imtiaz Gulshan-e-Iqbal,ST005,Scotch Tape,Stationery,80,1,15,12,68,16,23.5,EasyPaisa,Home Delivery
ORD001020,2025-05-12,5,May,2025,Q2,Monday,CUST0003,Kashif Qureshi,Male,56+,Tariq Road,Karachi,Yes,Imtiaz Gulshan-e-Iqbal,ST005,Cheddar Cheese 200g,Dairy,504,1,0,0,504,42,8.3,EasyPaisa,In-Store
ORD001021,2025-01-20,1,January,2025,Q1,Monday,CUST0003,Kashif Qureshi,Male,56+,Tariq Road,Karachi,Yes,Imtiaz Bahadurabad,ST001,Shan Biryani Masala,Grocery,121,3,10,36,327,72,22.0,Credit Card,Home Delivery
ORD001021,2025-01-20,1,January,2025,Q1,Monday,CUST0003,Kashif Qureshi,Male,56+,Tariq Road,Karachi,Yes,Imtiaz Bahadurabad,ST001,Spinach bunch,Fruits & Vegetables,50,4,5,10,190,29,15.3,Cash,Home Delivery
ORD001022,2025-10-01,10,October,2025,Q4,Wednesday,CUST0004,Lubna Baig,Female,26-35,Bahadurabad,Karachi,Yes,Imtiaz Bahadurabad,ST001,Notebook A4 200pg,Stationery,187,1,0,0,187,26,13.9,JazzCash,In-Store
ORD001022,2025-10-01,10,October,2025,Q4,Wednesday,CUST0004,Lubna Baig,Female,26-35,Bahadurabad,Karachi,Yes,Imtiaz Bahadurabad,ST001,School Uniform Shirt,Clothing & Fabric,550,3,0,0,1650,302,18.3,Credit Card,Home Delivery
ORD001023,2025-07-15,7,July,2025,Q3,Tuesday,CUST0004,Lubna Baig,Female,26-35,Bahadurabad,Karachi,Yes,Imtiaz Clifton,ST004,Johnson Baby Powder 200g,Pharmacy & Health,383,2,0,0,766,159,20.8,JazzCash,In-Store
ORD001024,2025-11-21,11,November,2025,Q4,Friday,CUST0004,Lubna Baig,Female,26-35,Bahadurabad,Karachi,Yes,Imtiaz Nazimabad,ST002,Ponds Face Wash 100g,Personal Care,415,3,0,0,1245,217,17.4,JazzCash,In-Store
ORD001024,2025-11-21,11,November,2025,Q4,Friday,CUST0004,Lubna Baig,Female,26-35,Bahadurabad,Karachi,Yes,Imtiaz Nazimabad,ST002,File Folder 10pcs,Stationery,200,1,10,20,180,33,18.3,JazzCash,In-Store
ORD001024,2025-11-21,11,November,2025,Q4,Friday,CUST0004,Lubna Baig,Female,26-35,Bahadurabad,Karachi,Yes,Imtiaz Nazimabad,ST002,Skipping Rope,Toys & Sports,264,3,15,119,673,157,23.3,Credit Card,In-Store
ORD001024,2025-11-21,11,November,2025,Q4,Friday,CUST0004,Lubna Baig,Female,26-35,Bahadurabad,Karachi,Yes,Imtiaz Nazimabad,ST002,Women's Innerwear set,Clothing & Fabric,703,4,10,281,2531,264,10.4,Cash,In-Store
ORD001024,2025-11-21,11,November,2025,Q4,Friday,CUST0004,Lubna Baig,Female,26-35,Bahadurabad,Karachi,Yes,Imtiaz Nazimabad,ST002,Head & Shoulders 400ml,Personal Care,732,3,0,0,2196,426,19.4,JazzCash,In-Store
ORD001025,2026-03-12,3,March,2026,Q1,Thursday,CUST0004,Lubna Baig,Female,26-35,Bahadurabad,Karachi,Yes,Imtiaz Gulshan-e-Iqbal,ST005,Head & Shoulders 400ml,Personal Care,815,2,5,82,1548,374,24.2,Credit Card,In-Store
ORD001025,2026-03-12,3,March,2026,Q1,Thursday,CUST0004,Lubna Baig,Female,26-35,Bahadurabad,Karachi,Yes,Imtiaz Gulshan-e-Iqbal,ST005,Broom set,Household,322,2,10,64,580,53,9.1,Cash,In-Store
ORD001025,2026-03-12,3,March,2026,Q1,Thursday,CUST0004,Lubna Baig,Female,26-35,Bahadurabad,Karachi,Yes,Imtiaz Gulshan-e-Iqbal,ST005,Surf Excel 1kg,Grocery,446,4,10,178,1606,309,19.2,EasyPaisa,In-Store
ORD001025,2026-03-12,3,March,2026,Q1,Thursday,CUST0004,Lubna Baig,Female,26-35,Bahadurabad,Karachi,Yes,Imtiaz Gulshan-e-Iqbal,ST005,Pita Bread 4pcs,Bakery,117,3,5,18,333,36,10.8,Credit Card,In-Store
ORD001025,2026-03-12,3,March,2026,Q1,Thursday,CUST0004,Lubna Baig,Female,26-35,Bahadurabad,Karachi,Yes,Imtiaz Gulshan-e-Iqbal,ST005,Dettol Handwash 500ml,Personal Care,334,2,15,100,568,88,15.5,Credit Card,In-Store
ORD001025,2026-03-12,3,March,2026,Q1,Thursday,CUST0004,Lubna Baig,Female,26-35,Bahadurabad,Karachi,Yes,Imtiaz Gulshan-e-Iqbal,ST005,Sunsilk Shampoo 400ml,Grocery,559,3,5,84,1593,248,15.6,Credit Card,Home Delivery
ORD001025,2026-03-12,3,March,2026,Q1,Thursday,CUST0004,Lubna Baig,Female,26-35,Bahadurabad,Karachi,Yes,Imtiaz Gulshan-e-Iqbal,ST005,Rusk packet,Bakery,89,1,10,9,80,8,10.0,Credit Card,In-Store
ORD001025,2026-03-12,3,March,2026,Q1,Thursday,CUST0004,Lubna Baig,Female,26-35,Bahadurabad,Karachi,Yes,Imtiaz Gulshan-e-Iqbal,ST005,Peek Freans Cake,Grocery,171,2,15,51,291,27,9.3,Cash,In-Store
